-1.284e-08,-1.284e-08,1.926e-08,-80,-80,120
-1.0206e-08,-1.0206e-08,2.0412e-08,-80,-80,160
-6.1673e-09,-6.1673e-09,1.8502e-08,-80,-80,240
-4.8799e-09,-4.8799e-09,1.7079e-08,-80,-80,280
-1.7181e-08,-8.5905e-09,2.5771e-08,-80,-40,120
-1.247e-08,-6.2348e-09,2.4939e-08,-80,-40,160
-6.8564e-09,-3.4282e-09,2.0569e-08,-80,-40,240
-5.2921e-09,-2.6461e-09,1.8522e-08,-80,-40,280
-1.7181e-08,8.5905e-09,2.5771e-08,-80,40,120
-1.247e-08,6.2348e-09,2.4939e-08,-80,40,160
-6.8564e-09,3.4282e-09,2.0569e-08,-80,40,240
-5.2921e-09,2.6461e-09,1.8522e-08,-80,40,280
-1.284e-08,1.284e-08,1.926e-08,-80,80,120
-1.0206e-08,1.0206e-08,2.0412e-08,-80,80,160
-6.1673e-09,6.1673e-09,1.8502e-08,-80,80,240
-4.8799e-09,4.8799e-09,1.7079e-08,-80,80,280
-8.5905e-09,-1.7181e-08,2.5771e-08,-40,-80,120
-6.2348e-09,-1.247e-08,2.4939e-08,-40,-80,160
-3.4282e-09,-6.8564e-09,2.0569e-08,-40,-80,240
-2.6461e-09,-5.2921e-09,1.8522e-08,-40,-80,280
-1.2335e-08,-1.2335e-08,3.7003e-08,-40,-40,120
-7.8567e-09,-7.8567e-09,3.1427e-08,-40,-40,160
-3.8421e-09,-3.8421e-09,2.3052e-08,-40,-40,240
-2.8829e-09,-2.8829e-09,2.018e-08,-40,-40,280
-1.2335e-08,1.2335e-08,3.7003e-08,-40,40,120
-7.8567e-09,7.8567e-09,3.1427e-08,-40,40,160
-3.8421e-09,3.8421e-09,2.3052e-08,-40,40,240
-2.8829e-09,2.8829e-09,2.018e-08,-40,40,280
-8.5905e-09,1.7181e-08,2.5771e-08,-40,80,120
-6.2348e-09,1.247e-08,2.4939e-08,-40,80,160
-3.4282e-09,6.8564e-09,2.0569e-08,-40,80,240
-2.6461e-09,5.2921e-09,1.8522e-08,-40,80,280
8.5905e-09,-1.7181e-08,2.5771e-08,40,-80,120
6.2348e-09,-1.247e-08,2.4939e-08,40,-80,160
3.4282e-09,-6.8564e-09,2.0569e-08,40,-80,240
2.6461e-09,-5.2921e-09,1.8522e-08,40,-80,280
1.2335e-08,-1.2335e-08,3.7003e-08,40,-40,120
7.8567e-09,-7.8567e-09,3.1427e-08,40,-40,160
3.8421e-09,-3.8421e-09,2.3052e-08,40,-40,240
2.8829e-09,-2.8829e-09,2.018e-08,40,-40,280
1.2335e-08,1.2335e-08,3.7003e-08,40,40,120
7.8567e-09,7.8567e-09,3.1427e-08,40,40,160
3.8421e-09,3.8421e-09,2.3052e-08,40,40,240
2.8829e-09,2.8829e-09,2.018e-08,40,40,280
8.5905e-09,1.7181e-08,2.5771e-08,40,80,120
6.2348e-09,1.247e-08,2.4939e-08,40,80,160
3.4282e-09,6.8564e-09,2.0569e-08,40,80,240
2.6461e-09,5.2921e-09,1.8522e-08,40,80,280
1.284e-08,-1.284e-08,1.926e-08,80,-80,120
1.0206e-08,-1.0206e-08,2.0412e-08,80,-80,160
6.1673e-09,-6.1673e-09,1.8502e-08,80,-80,240
4.8799e-09,-4.8799e-09,1.7079e-08,80,-80,280
1.7181e-08,-8.5905e-09,2.5771e-08,80,-40,120
1.247e-08,-6.2348e-09,2.4939e-08,80,-40,160
6.8564e-09,-3.4282e-09,2.0569e-08,80,-40,240
5.2921e-09,-2.6461e-09,1.8522e-08,80,-40,280
1.7181e-08,8.5905e-09,2.5771e-08,80,40,120
1.247e-08,6.2348e-09,2.4939e-08,80,40,160
6.8564e-09,3.4282e-09,2.0569e-08,80,40,240
5.2921e-09,2.6461e-09,1.8522e-08,80,40,280
1.284e-08,1.284e-08,1.926e-08,80,80,120
1.0206e-08,1.0206e-08,2.0412e-08,80,80,160
6.1673e-09,6.1673e-09,1.8502e-08,80,80,240
4.8799e-09,4.8799e-09,1.7079e-08,80,80,280
